1,001 Carlow Urban,Carlow,SE,South-East,Southern,3657,3236,186,183,210,242,26,33,149,133,193,243,4421,4070,82.72,79.51,4.21,4.5,4.75,5.95,0.59,0.81,3.37,3.27,4.37,5.97,3726,3289,84,69,208,252,27,33,146,128,184,217,46,82,4421,4070,84.28,80.81,1.9,1.7,4.7,6.19,0.61,0.81,3.3,3.14,4.16,5.33,1.04,2.01,3664,3168,35,47,455,481,39,50,87,155,60,52,81,117,4421,4070,82.88,77.84,0.79,1.15,10.29,11.82,0.88,1.23,1.97,3.81,1.36,1.28,1.83,2.87,3951,3398,336,396,239,278,79,109,4605,4181,85.8,81.27,7.3,9.47,5.19,6.65,1.72,2.61,3609,3540,366,277,148,140,256,65,4379,4022,82.42,88.02,8.36,6.89,3.38,3.48,5.85,1.62,682,215,302,131,20,14,31.52,44.28,19.21,2.93,2.05,682,250,44,32,356,36.66,6.45,4.69,52.2
2,002 Graigue Urban,Carlow,SE,South-East,Southern,1226,1068,64,57,64,71,10,1,46,23,80,40,1490,1260,82.28,84.76,4.3,4.52,4.3,5.63,0.67,0.08,3.09,1.83,5.37,3.17,1246,1076,30,20,65,76,10,1,51,20,74,37,14,30,1490,1260,83.62,85.4,2.01,1.59,4.36,6.03,0.67,0.08,3.42,1.59,4.97,2.94,0.94,2.38,1225,1051,1,4,137,116,38,11,16,22,44,11,29,45,1490,1260,82.21,83.41,0.07,0.32,9.19,9.21,2.55,0.87,1.07,1.75,2.95,0.87,1.95,3.57,1331,1106,91,67,69,51,33,48,1524,1272,87.34,86.95,5.97,5.27,4.53,4.01,2.17,3.77,1300,1147,57,65,41,27,83,10,1481,1249,87.78,91.83,3.85,5.2,2.77,2.16,5.6,0.8,148,52,51,34,8,3,35.14,34.46,22.97,5.41,2.03,148,78,13,1,56,52.7,8.78,0.68,37.84
3,003 Clonmore,Carlow,SE,South-East,Southern,480,518,35,29,0,0,0,2,2,2,10,8,527,559,91.08,92.67,6.64,5.19,0,0,0,0.36,0.38,0.36,1.9,1.43,489,528,25,20,0,0,0,2,3,2,5,2,5,5,527,559,92.79,94.45,4.74,3.58,0,0,0,0.36,0.57,0.36,0.95,0.36,0.95,0.89,479,530,0,0,25,20,0,0,2,3,6,2,15,4,527,559,90.89,94.81,0,0,4.74,3.58,0,0,0.38,0.54,1.14,0.36,2.85,0.72,458,486,63,56,4,11,5,7,530,560,86.42,86.79,11.89,10,0.75,1.96,0.94,1.25,495,525,5,17,17,5,3,2,520,549,95.19,95.63,0.96,3.1,3.27,0.91,0.58,0.36,17,14,1,2,0,0,82.35,5.88,11.76,0,0,17,1,5,2,9,5.88,29.41,11.76,52.94
4,004 Hacketstown,Carlow,SE,South-East,Southern,960,1010,47,41,28,13,2,1,14,7,9,11,1060,1083,90.57,93.26,4.43,3.79,2.64,1.2,0.19,0.09,1.32,0.65,0.85,1.02,965,1019,31,20,28,13,3,1,11,4,8,11,14,15,1060,1083,91.04,94.09,2.92,1.85,2.64,1.2,0.28,0.09,1.04,0.37,0.75,1.02,1.32,1.39,975,1028,0,0,69,36,1,2,0,4,3,1,12,12,1060,1083,91.98,94.92,0,0,6.51,3.32,0.09,0.18,0,0.37,0.28,0.09,1.13,1.11,982,980,59,68,15,26,9,17,1065,1091,92.21,89.83,5.54,6.23,1.41,2.38,0.85,1.56,970,1025,35,31,20,9,19,2,1044,1067,92.91,96.06,3.35,2.91,1.92,0.84,1.82,0.19,42,23,11,6,1,1,54.76,26.19,14.29,2.38,2.38,42,12,3,0,27,28.57,7.14,0,64.29
5,005 Haroldstown,Carlow,SE,South-East,Southern,252,246,12,11,1,0,0,0,0,0,2,2,267,259,94.38,94.98,4.49,4.25,0.37,0,0,0,0,0,0.75,0.77,255,251,8,7,1,0,0,0,0,0,1,0,2,1,267,259,95.51,96.91,3,2.7,0.37,0,0,0,0,0,0.37,0,0.75,0.39,252,248,0,0,8,7,0,0,0,0,0,1,7,3,267,259,94.38,95.75,0,0,3,2.7,0,0,0,0,0,0.39,2.62,1.16,222,220,39,35,3,2,3,2,267,259,83.15,84.94,14.61,13.51,1.12,0.77,1.12,0.77,249,244,4,9,5,1,7,2,265,256,93.96,95.31,1.51,3.52,1.89,0.39,2.64,0.78,4,2,1,0,0,1,50,25,0,0,25,4,0,1,0,3,0,25,0,75
6,006 Kineagh,Carlow,SE,South-East,Southern,285,303,23,21,0,0,0,0,0,2,1,1,309,327,92.23,92.66,7.44,6.42,0,0,0,0,0,0.61,0.32,0.31,300,314,8,5,0,0,0,0,0,2,1,2,0,4,309,327,97.09,96.02,2.59,1.53,0,0,0,0,0,0.61,0.32,0.61,0,1.22,299,314,0,0,6,8,0,0,0,0,0,0,4,5,309,327,96.76,96.02,0,0,1.94,2.45,0,0,0,0,0,0,1.29,1.53,269,286,38,35,2,3,0,3,309,327,87.06,87.46,12.3,10.7,0.65,0.92,0,0.92,283,308,13,10,10,4,0,2,306,324,92.48,95.06,4.25,3.09,3.27,1.23,0,0.62,11,8,2,1,0,0,72.73,18.18,9.09,0,0,11,0,4,0,7,0,36.36,0,63.64
7,007 Rahill,Carlow,SE,South-East,Southern,533,605,32,36,1,5,5,0,3,5,11,11,585,662,91.11,91.39,5.47,5.44,0.17,0.76,0.85,0,0.51,0.76,1.88,1.66,547,623,14,19,1,5,5,0,2,5,9,8,7,2,585,662,93.5,94.11,2.39,2.87,0.17,0.76,0.85,0,0.34,0.76,1.54,1.21,1.2,0.3,551,612,0,1,17,33,3,1,1,4,5,8,8,3,585,662,94.19,92.45,0,0.15,2.91,4.98,0.51,0.15,0.17,0.6,0.85,1.21,1.37,0.45,515,576,62,69,6,12,2,5,585,662,88.03,87.01,10.6,10.42,1.03,1.81,0.34,0.76,493,639,16,5,51,8,12,2,572,654,86.19,97.71,2.8,0.76,8.92,1.22,2.1,0.31,21,10,6,3,0,2,47.62,28.57,14.29,0,9.52,21,6,6,0,9,28.57,28.57,0,42.86
8,008 Rathvilly,Carlow,SE,South-East,Southern,734,756,52,49,1,13,0,2,6,10,7,7,800,837,91.75,90.32,6.5,5.85,0.13,1.55,0,0.24,0.75,1.19,0.88,0.84,757,776,28,23,1,14,0,3,5,10,4,1,5,10,800,837,94.63,92.71,3.5,2.75,0.13,1.67,0,0.36,0.63,1.19,0.5,0.12,0.63,1.19,751,781,1,0,31,43,0,1,0,1,5,5,12,6,800,837,93.88,93.31,0.13,0,3.88,5.14,0,0.12,0,0.12,0.63,0.6,1.5,0.72,760,775,30,26,8,33,4,4,802,838,94.76,92.48,3.74,3.1,1,3.94,0.5,0.48,700,769,37,42,38,11,9,5,784,827,89.29,92.99,4.72,5.08,4.85,1.33,1.15,0.6,48,23,13,10,0,2,47.92,27.08,20.83,0,4.17,48,15,11,3,19,31.25,22.92,6.25,39.58
9,009 Tiknock,Carlow,SE,South-East,Southern,297,313,24,14,6,2,0,0,1,0,3,6,331,335,89.73,93.43,7.25,4.18,1.81,0.6,0,0,0.3,0,0.91,1.79,305,319,17,9,6,2,0,0,1,0,2,3,0,2,331,335,92.15,95.22,5.14,2.69,1.81,0.6,0,0,0.3,0,0.6,0.9,0,0.6,304,317,0,0,15,8,0,0,1,1,3,7,8,2,331,335,91.84,94.63,0,0,4.53,2.39,0,0,0.3,0.3,0.91,2.09,2.42,0.6,306,307,9,13,12,15,4,3,331,338,92.45,90.83,2.72,3.85,3.63,4.44,1.21,0.89,301,315,1,5,10,4,8,2,320,326,94.06,96.63,0.31,1.53,3.13,1.23,2.5,0.61,13,9,0,2,0,2,69.23,0,15.38,0,15.38,13,2,4,0,7,15.38,30.77,0,53.85
10,010 Williamstown,Carlow,SE,South-East,Southern,243,272,19,19,2,0,0,0,4,0,3,6,271,297,89.67,91.58,7.01,6.4,0.74,0,0,0,1.48,0,1.11,2.02,248,284,11,9,2,0,0,0,4,0,3,3,3,1,271,297,91.51,95.62,4.06,3.03,0.74,0,0,0,1.48,0,1.11,1.01,1.11,0.34,250,282,0,0,16,7,0,0,1,2,1,4,3,2,271,297,92.25,94.95,0,0,5.9,2.36,0,0,0.37,0.67,0.37,1.35,1.11,0.67,223,247,40,41,8,7,2,2,273,297,81.68,83.16,14.65,13.8,2.93,2.36,0.73,0.67,228,273,18,12,11,3,7,5,264,293,86.36,93.17,6.82,4.1,4.17,1.02,2.65,1.71,8,2,2,1,1,2,25,25,12.5,12.5,25,8,0,4,0,4,0,50,0,50
